,Date,Open,High,Low,Close,Volume,High-Low,Open-Close
0,,,,,,,,
1,,,,,,,,
2,11-08-2020,951.95,961.95,946.35,948.20,504482,15.60,3.75
3,10-08-2020,950.75,956.65,945.60,951.10,541207,11.05,-0.35
4,07-08-2020,970.85,970.85,949.00,950.75,440768,21.85,20.10
5,06-08-2020,950.00,974.55,942.75,969.20,585867,31.80,-19.20
6,05-08-2020,950.25,960.65,938.50,944.60,533690,22.15,5.65
7,04-08-2020,959.70,970.00,941.05,950.10,353882,28.95,9.60
8,03-08-2020,962.80,965.00,947.75,957.35,292771,17.25,5.45
9,31-07-2020,965.00,986.00,953.40,966.25,685429,32.60,-1.25
10,30-07-2020,960.00,972.50,958.65,961.85,569279,13.85,-1.85
11,29-07-2020,953.45,959.60,943.75,953.85,519229,15.85,-0.40
12,28-07-2020,947.95,967.20,941.90,962.75,652792,25.30,-14.80
13,27-07-2020,922.45,952.45,918.60,947.95,548113,33.85,-25.50
14,24-07-2020,904.70,925.35,903.95,922.60,845525,21.40,-17.90
15,23-07-2020,916.00,916.55,900.65,908.85,790412,15.90,7.15
16,22-07-2020,940.00,940.00,911.55,919.40,481341,28.45,20.60
17,21-07-2020,945.90,949.40,929.35,936.70,858147,20.05,9.20
18,20-07-2020,904.00,945.00,904.00,933.55,797602,41.00,-29.55
19,17-07-2020,911.00,920.00,892.20,904.00,1728207,27.80,7.00
20,16-07-2020,900.00,952.00,890.00,910.90,3327650,62.00,-10.90
21,15-07-2020,796.90,848.00,795.35,831.45,1272970,52.65,-34.55
22,14-07-2020,795.65,806.30,781.45,783.20,367334,24.85,12.45
23,13-07-2020,790.00,804.90,787.55,796.70,275987,17.35,-6.70
24,10-07-2020,772.00,789.35,772.00,781.80,220696,17.35,-9.80
25,09-07-2020,778.00,789.85,775.10,781.55,186954,14.75,-3.55
26,08-07-2020,786.50,786.50,772.75,774.60,212793,13.75,11.90
27,07-07-2020,774.00,796.65,766.30,794.40,564766,30.35,-20.40
28,06-07-2020,765.00,774.90,762.00,763.75,441476,12.90,1.25
29,03-07-2020,756.60,763.85,752.55,762.60,151985,11.30,-6.00
30,02-07-2020,735.80,765.05,735.80,756.30,534984,29.25,-20.50
31,01-07-2020,736.00,742.05,730.00,732.50,363835,12.05,3.50
32,30-06-2020,734.40,739.00,724.50,735.90,203743,14.50,-1.50
33,29-06-2020,738.75,744.55,730.00,731.45,327676,14.55,7.30
34,26-06-2020,706.90,750.90,706.90,748.15,821530,44.00,-41.25
35,25-06-2020,705.00,705.40,693.05,699.60,633979,12.35,5.40
36,24-06-2020,719.95,726.75,709.55,714.20,837006,17.20,5.75
37,23-06-2020,696.80,724.30,692.30,720.45,388008,32.00,-23.65
38,22-06-2020,704.50,708.50,700.00,703.65,345887,8.50,0.85
39,19-06-2020,713.00,713.00,701.10,705.65,633929,11.90,7.35
